측정일시,SO2,CO,O3,NO2,PM10,PM25
2022-01-01 00:00:00,0.003,0.4,0.026,0.016,23.0,12.0
2022-01-01 01:00:00,0.003,0.4,0.022,0.02,20.0,9.0
2022-01-01 02:00:00,0.003,0.5,0.014,0.028,20.0,9.0
2022-01-01 03:00:00,0.003,0.5,0.016,0.027,19.0,10.0
2022-01-01 04:00:00,0.003,0.5,0.005,0.04,24.0,11.0
2022-01-01 05:00:00,0.003,0.6,0.002,0.045,19.0,11.0
2022-01-01 06:00:00,0.003,0.6,0.002,0.044,24.0,14.0
2022-01-01 07:00:00,0.003,0.6,0.002,0.042,27.0,16.0
2022-01-01 08:00:00,0.003,0.6,0.006,0.038,26.0,12.0
2022-01-01 09:00:00,0.004,0.5,0.019,0.024,22.0,10.0
2022-01-01 10:00:00,0.004,0.4,0.024,0.02,22.0,10.0
2022-01-01 11:00:00,0.004,0.5,0.021,0.025,22.0,10.0
2022-01-01 12:00:00,0.004,0.5,0.02,0.028,28.0,17.0
2022-01-01 13:00:00,0.004,0.5,0.02,0.027,27.0,15.0
2022-01-01 14:00:00,0.004,0.5,0.02,0.03,29.0,18.0
2022-01-01 15:00:00,0.004,0.5,0.017,0.032,29.0,18.0
2022-01-01 16:00:00,0.004,0.5,0.012,0.039,36.0,20.0
2022-01-01 17:00:00,0.004,0.6,0.005,0.046,34.0,21.0
2022-01-01 18:00:00,0.004,0.7,0.002,0.052,35.0,22.0
2022-01-01 19:00:00,0.004,0.7,0.002,0.05,34.0,19.0
2022-01-01 20:00:00,0.004,0.8,0.002,0.053,36.0,20.0
2022-01-01 21:00:00,0.004,1.0,0.002,0.06,38.0,23.0
2022-01-01 22:00:00,0.005,1.2,0.002,0.066,41.0,29.0
2022-01-01 23:00:00,0.005,1.2,0.002,0.064,42.0,26.0
2022-01-02 00:00:00,0.004,0.8,0.002,0.052,38.0,24.0
2022-01-02 01:00:00,0.004,0.8,0.002,0.052,34.0,23.0
2022-01-02 02:00:00,0.004,0.8,0.002,0.052,35.0,26.0
2022-01-02 03:00:00,0.004,0.6,0.002,0.046,33.0,24.0
2022-01-02 04:00:00,0.003,0.5,0.005,0.039,33.0,25.0
2022-01-02 05:00:00,0.004,0.5,0.005,0.037,32.0,23.0
2022-01-02 06:00:00,0.003,0.5,0.004,0.041,33.0,26.0
2022-01-02 07:00:00,0.003,0.6,0.002,0.042,33.0,22.0
2022-01-02 08:00:00,0.003,0.6,0.003,0.042,35.0,22.0
2022-01-02 09:00:00,0.003,0.6,0.006,0.039,34.0,24.0
2022-01-02 10:00:00,0.003,0.6,0.012,0.031,42.0,30.0
2022-01-02 11:00:00,0.003,0.6,0.022,0.017,56.0,45.0
2022-01-02 12:00:00,0.004,0.6,0.027,0.016,58.0,46.0
2022-01-02 13:00:00,0.004,0.5,0.031,0.014,55.0,43.0
2022-01-02 14:00:00,0.004,0.5,0.037,0.012,43.0,33.0
2022-01-02 15:00:00,0.004,0.5,0.036,0.013,34.0,27.0
2022-01-02 16:00:00,0.004,0.4,0.035,0.014,33.0,24.0
2022-01-02 17:00:00,0.003,0.4,0.032,0.017,31.0,24.0
2022-01-02 18:00:00,0.003,0.4,0.03,0.017,25.0,17.0
2022-01-02 19:00:00,0.003,0.5,0.025,0.02,24.0,15.0
2022-01-02 20:00:00,0.003,0.5,0.028,0.017,26.0,18.0
2022-01-02 21:00:00,0.003,0.5,0.023,0.021,27.0,19.0
2022-01-02 22:00:00,0.003,0.5,0.016,0.027,27.0,18.0
2022-01-02 23:00:00,0.003,0.5,0.018,0.025,25.0,18.0
2022-01-03 00:00:00,0.003,0.5,0.017,0.025,22.0,17.0
