"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),택시운송업,택시운송업,한식 일반 음식점업,한식 일반 음식점업,용달 화물자동차 운송업,용달 화물자동차 운송업,부동산 중개 및 대리업,부동산 중개 및 대리업,두발미용업,두발미용업,커피전문점,커피전문점,기타 주점업,기타 주점업,남녀용 겉옷 및 셔츠 도매업,남녀용 겉옷 및 셔츠 도매업,일반 교과 학원,일반 교과 학원,한식 육류요리 전문점,한식 육류요리 전문점
"동별(1)",동별(2),동별(3),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
"합계",소계,소계,42360,65212,30899,82152,36870,37147,28161,42339,18885,33050,19200,56685,13056,22017,14604,45288,15026,54362,10693,35052
"합계",종로구,소계,187,187,1568,4600,671,671,605,885,266,430,1027,3286,576,1069,509,1038,139,416,405,1546
"합계",종로구,사직동,8,8,241,804,33,33,67,131,27,57,151,523,84,168,8,38,9,36,50,198
"합계",종로구,삼청동,5,5,41,116,3,3,10,33,2,3,59,194,5,8,3,5,1,1,2,20
"합계",종로구,부암동,8,8,22,81,9,9,16,19,10,11,27,63,6,10,3,16,21,56,3,8
"합계",종로구,평창동,17,17,32,111,12,12,42,55,17,23,24,65,24,32,7,9,27,77,10,78
"합계",종로구,무악동,6,6,9,17,385,385,14,17,8,8,8,18,1,2,-,-,15,43,1,2
"합계",종로구,교남동,11,11,14,44,4,4,34,43,9,19,23,73,2,5,1,3,10,24,3,15
"합계",종로구,가회동,7,7,57,186,7,7,15,17,8,9,51,166,7,14,-,-,4,10,4,12
"합계",종로구,종로1.2.3.4가동,4,4,554,1819,84,84,123,237,38,64,296,1143,268,535,190,247,7,57,174,757
"합계",종로구,종로5.6가동,7,7,182,416,7,7,73,78,19,21,74,141,35,42,91,224,-,-,53,155
"합계",종로구,이화동,4,4,73,273,14,14,11,12,9,35,75,295,22,46,9,126,2,38,10,45
"합계",종로구,창신1동,9,9,65,121,11,11,35,44,13,20,16,44,15,24,122,229,3,6,12,24
"합계",종로구,창신2동,8,8,41,78,15,15,18,20,19,19,11,28,8,10,8,11,1,5,17,36
"합계",종로구,창신3동,28,28,8,17,31,31,15,19,11,15,6,9,1,2,6,8,3,6,-,-
"합계",종로구,숭인1동,7,7,15,33,10,10,16,22,13,23,8,23,3,3,17,43,5,13,1,4
"합계",종로구,숭인2동,8,8,60,118,15,15,39,44,15,22,23,66,19,26,37,58,-,-,13,36
"합계",종로구,청운효자동,21,21,45,131,11,11,30,41,17,21,71,184,15,22,5,14,15,20,8,22
"합계",종로구,혜화동,29,29,109,235,20,20,47,53,31,60,104,251,61,120,2,7,16,24,44,134
"합계",중구,소계,207,219,1556,5168,683,688,664,1176,333,604,934,2992,396,700,10658,17065,72,275,382,1424
"합계",중구,소공동,2,2,199,930,269,269,33,58,18,33,152,633,20,44,4,69,1,75,41,228
"합계",중구,회현동,5,17,146,498,95,95,26,60,20,39,99,333,20,32,1191,1497,-,-,28,105
